category_id;category_name;category_priority;non
5QCDr;?cole nationale d'ing?nieurs;1;
mCpLW;Universit?;1;
3Tv86;Organisation internationale;3;
OfNVg;Communaut? d'universit?s et ?tablissements exp?rimentale;3;
ctCSr;Communaut? d'universit?s et ?tablissements;4;
u45kl;Centre R?gional d?Innovation et de Transferts Technologiques;5;
B67Dl;Organisme li? ? la recherche;5;
MTFHZ;Soci?t? d'acc?l?ration du transfert de technologies;5;
HDR9x;Institut d'?tude politique;5;
98nFQ;Biblioth?que nationale;5;
2qg98;?cole nationale sup?rieure d'ing?nieurs;5;
gnP1F;?cole normale sup?rieure;5;
Dgbe9;Grand ?tablissement relevant d'un autre d?partement minist?riel;5;
16xJD;P?le de recherche et d'enseignement sup?rieur;5;
2ZdzP;Organisme de recherche;5;
7OtgP;Institut national polytechnique;5;
J0mQ2;Grand ?tablissement;6;
Eg7tX;?tablissement public exp?rimental;7;
Jb7uE;Centre de lutte contre le cancer;8;
eD820;?tablissement public ? caract?re scientifique et technologique;8;
hpU8F;?tablissement public ? caract?re industriel et commercial;8;
xijgv;Autre structure ?trang?re;10;
azyuq;Centre de ressources technologiques;50;
nw20k;Universit? de technologie;10;
9jm7d;Institut du CNRS;10;
FNw8I;Pays;10;n
FmvNV;Centre ? caract?re interminist?riel et pluridisciplinaire;10;
E9DJq;Service de sant? ?tudiante;10;
YhdwG;D?l?gation r?gionale acad?mique ? la recherche et ? l'innovation;10;
ydmvQ;Ambassade de France;10;n
t8gtc;Conseil r?gional;10;
RYT5d;Maison d'?dition;10;
MjVuy;D?l?gation r?gionale ? la recherche et ? la technologie;10;
aNEHc;Service ? comp?tence nationale;10;
rLEpm;Instance du CNESER;10;
PGAzE;Unit? de gestion administrative et des ressources humaines;10;n
KFBJA;Coll?ge d'administration centrale;10;
HApQp;Loi;10;n
SZTa3;Filiale d'?tablissements publics de l'enseignement sup?rieur et de la recherche;10;
IOj4Q;Banque publique d'investissement;10;
NsMkU;?tablissement d'enseignement sup?rieur ?tranger;10;n
