framework;topic_area;WP_section;section_code;thema_name_en;thema_code;WP_period
H20;NFRP-03-2014;Support Safe Operation of Nuclear Systems;A;Nuclear safety;Euratom-A;2014-2015
H20;NFRP-01-2014;Support Safe Operation of Nuclear Systems;A;Nuclear safety;Euratom-A;2014-2015
H20;NFRP-02-2014;Support Safe Operation of Nuclear Systems;A;Nuclear safety;Euratom-A;2014-2015
H20;NFRP-1;Support safe operation of nuclear systems;A;Nuclear safety;Euratom-A;2016-2017
H20;NFRP-2;Support safe operation of nuclear systems;A;Nuclear safety;Euratom-A;2016-2017
H20;NFRP-3;Support safe operation of nuclear systems;A;Nuclear safety;Euratom-A;2016-2017
H20;NFRP-4;Support safe operation of nuclear systems;A;Nuclear safety;Euratom-A;2016-2017
H20;NFRP-5;Support safe operation of nuclear systems;A;Nuclear safety;Euratom-A;2016-2017
H20;NFRP-2018-1;Nuclear safety;A;Nuclear safety;Euratom-A;2018
H20;NFRP-2018-2;Nuclear safety;A;Nuclear safety;Euratom-A;2018
H20;NFRP-2018-3;Nuclear safety;A;Nuclear safety;Euratom-A;2018
H20;NFRP-2018-4;Nuclear safety;A;Nuclear safety;Euratom-A;2018
H20;NFRP-2019-2020-01;Nuclear safety;A;Nuclear safety;Euratom-A;2019-2020
H20;NFRP-2019-2020-02;Nuclear safety;A;Nuclear safety;Euratom-A;2019-2020
H20;NFRP-2019-2020-03;Nuclear safety;A;Nuclear safety;Euratom-A;2019-2020
H20;NFRP-2019-2020-04;Nuclear safety;A;Nuclear safety;Euratom-A;2019-2020
H20;NFRP-2019-2020-05;Nuclear safety;A;Nuclear safety;Euratom-A;2019-2020
H20;NFRP-2019-2020-06;Nuclear safety;A;Nuclear safety;Euratom-A;2019-2020
H20;NFRP-2019-2020-07;Nuclear safety;A;Nuclear safety;Euratom-A;2019-2020
H20;NFRP-2019-2020-08;Nuclear safety;A;Nuclear safety;Euratom-A;2019-2020
H20;NFRP-2018-5;Decommissioning and environmental remediation;B;Decommissioning and environmental remediation;Euratom-B;2018
H20;NFRP-2019-2020-09;Decommissioning and environmental remediation;B;Decommissioning and environmental remediation;Euratom-B;2019-2020
H20;NFRP-04-2014;Contribute to the Development of Solutions for the Management of Ultimate Radioactive Waste;B;Radioactive waste management;Euratom-C;2014-2015
H20;NFRP-06-2014;Contribute to the Development of Solutions for the Management of Ultimate Radioactive Waste;B;Radioactive waste management;Euratom-C;2014-2015
H20;NFRP-05-2015;Contribute to the Development of Solutions for the Management of Ultimate Radioactive Waste;B;Radioactive waste management;Euratom-C;2014-2015
H20;NFRP-6;Contribute to the development of solutions for the management of ultimate nuclear waste;B;Radioactive waste management;Euratom-C;2016-2017
H20;NFRP-7;Contribute to the development of solutions for the management of ultimate nuclear waste;B;Radioactive waste management;Euratom-C;2016-2017
H20;NFRP-8;Contribute to the development of solutions for the management of ultimate nuclear waste;B;Radioactive waste management;Euratom-C;2016-2017
H20;NFRP-2018-6;Radioactive waste management;C;Radioactive waste management;Euratom-C;2018
H20;NFRP-2019-2020-10;Radioactive waste management;C;Radioactive waste management;Euratom-C;2019-2020
H20;NFRP-15-2015;Support the development of nuclear competences at Union level and socio-economic aspects;E;Support the development of nuclear competences at Union level and socio-economic aspects;Euratom-D;2014-2015
H20;NFRP-16-2015;Support the development of nuclear competences at Union level and socio-economic aspects;E;Support the development of nuclear competences at Union level and socio-economic aspects;Euratom-D;2014-2015
H20;NFRP-12-2014;Support the development of nuclear competences at Union level and socio-economic aspects;E;Support the development of nuclear competences at Union level and socio-economic aspects;Euratom-D;2014-2015
H20;NFRP-10-2015;Support the development of nuclear competences at Union level and socio-economic aspects;E;Support the development of nuclear competences at Union level and socio-economic aspects;Euratom-D;2014-2015
H20;NFRP-14-2014;Support the development of nuclear competences at Union level and socio-economic aspects;E;Support the development of nuclear competences at Union level and socio-economic aspects;Euratom-D;2014-2015
H20;NFRP-13-2015;Support the development of nuclear competences at Union level and socio-economic aspects;E;Support the development of nuclear competences at Union level and socio-economic aspects;Euratom-D;2014-2015
H20;NFRP-11-2015;Support the development of nuclear competences at Union level and socio-economic aspects;E;Support the development of nuclear competences at Union level and socio-economic aspects;Euratom-D;2014-2015
H20;NFRP-12;Support the development and sustainability of nuclear competences at Union level;E;Support the development of nuclear competences at Union level and socio-economic aspects;Euratom-D;2016-2017
H20;NFRP-2018-7;Education and Training;D;Support the development of nuclear competences at Union level and socio-economic aspects;Euratom-D;2018
H20;NFRP-2019-2020-11;Education and Training;D;Support the development of nuclear competences at Union level and socio-economic aspects;Euratom-D;2019-2020
H20;NFRP-07-2015;Foster Radiation Protection;C;Radiation protection;Euratom-E;2014-2015
H20;NFRP-9;Foster radiation protection;C;Radiation protection;Euratom-E;2016-2017
H20;NFRP-2018-8;Radiation Protection;E;Radiation protection;Euratom-E;2018
H20;NFRP-2018-9;Radiation Protection;E;Radiation protection;Euratom-E;2018
H20;NFRP-2019-2020-12;Radiation Protection;E;Radiation protection;Euratom-E;2019-2020
