acronym	Partnership	action
MagicTune	FLAG-ERA III	ERA-NET Cofund
2D-Paper	FLAG-ERA III	ERA-NET Cofund
SCHIPOL	Eurostars 2	Article 185
X-Weaving	Eurostars 2	Article 185
WATCH-IT	Eurostars 2	Article 185
Topoquant	QuantERA	ERA-NET Cofund
MNEMOSYN	FLAG-ERA III	ERA-NET Cofund
2D4PFAS	M-ERA.NET 3	ERA-NET Cofund
LaSensA	M-ERA.NET 2	ERA-NET Cofund
2D-NEMS	FLAG-ERA III	ERA-NET Cofund
2DSOTECH	FLAG-ERA III	ERA-NET Cofund
INTRATARGET	EuroNanoMed III	ERA-NET Cofund
GiGAN-2	Eurostars 2	Article 185
3DNano-HPC	M-ERA.NET 3	ERA-NET Cofund
3D PRIME	Eurostars 2	Article 185
3DPrintInn	M-ERA.NET 2	ERA-NET Cofund
AquaHeal3D	BlueBio	ERA-NET Cofund
3D PIVOT	Eurostars 2	Article 185
3D-SELECT	Eurostars 2	Article 185
CRYOSPHERE	Eurostars 2	Article 185
3DGEO-EU	GeoERA	ERA-NET Cofund
TRAC-SCAN	Eurostars 2	Article 185
3D4D2	M-ERA.NET 2	ERA-NET Cofund
3DPERFIT	Eurostars 2	Article 185
3D-DXA Spine	Eurostars 2	Article 185
AMBioVessel	Eurostars 2	Article 185
MINDMAP	Eurostars 2	Article 185
4DbloodROT	M-ERA.NET 2	ERA-NET Cofund
LaserSens 4-in-1	Eurostars 2	Article 185
4DPrintEN	MANUNET III	ERA-NET Cofund
4ME	AAL 2	Article 185
8KSVIP	Eurostars 2	Article 185
3D-SCREEN	Eurostars 2	Article 185
ATRI	Eurostars 2	Article 185
COSTART	EMEurope	ERA-NET Cofund
CLARA	Eurostars 2	Article 185
HF-PREDICT	Eurostars 2	Article 185
De-STIM	Eurostars 2	Article 185
CompactOoC-3D	Eurostars 2	Article 185
ADDFerti	ICT-AGRI-FOOD	ERA-NET Cofund
DDA-Flex	Eurostars 2	Article 185
ZoDrEx	GEOTHERMICA	ERA-NET Cofund
EURO-CDG-2	E-Rare-3	ERA-NET Cofund
AFRICLINIQUE	EDCTP2	Article 185
APO010-in-selected-MM	Eurostars 2	Article 185
SYNCHROPACE	Eurostars 2	Article 185
HOMESIDE	JPCOFUND2	ERA-NET Cofund
WEC4Ports	OCEANERA-NET COFUND	ERA-NET Cofund
MIRACLE	ERA PerMed	ERA-NET Cofund
InSPECtion	Eurostars 2	Article 185
RTLS-ATEX0	Eurostars 2	Article 185
PerBrain	ERA PerMed	ERA-NET Cofund
HEMOSPHERE	Eurostars 2	Article 185
PSYBIAS	NEURON Cofund	ERA-NET Cofund
IRRIWELL	PRIMA	Article 185
TAI-MRI	NEURON Cofund	ERA-NET Cofund
Fast-Fix	Eurostars 2	Article 185
SPEKTIR	Eurostars 2	Article 185
MINC	Eurostars 2	Article 185
NGSduo	Eurostars 2	Article 185
TRAVEL	M-ERA.NET 2	ERA-NET Cofund
LICUS	Eurostars 2	Article 185
pI Fractionator	Eurostars 2	Article 185
CONTAXENSE	Eurostars 2	Article 185
BIBRA	Eurostars 2	Article 185
SOL-CT	Eurostars 2	Article 185
FlexiMILL	Eurostars 2	Article 185
SCR Tensioner	Eurostars 2	Article 185
TOPMESO	TRANSCAN-2	ERA-NET Cofund
MEDIET4ALL	PRIMA	Article 185
FLUIDSENSE	Eurostars 2	Article 185
ALLERGEN-ARRAY	Eurostars 2	Article 185
BANANA-SEAL	Eurostars 2	Article 185
ADCHIP	Eurostars 2	Article 185
HYDRO	Eurostars 2	Article 185
PVCirc	Eurostars 2	Article 185
BabyGel	EDCTP2	Article 185
POSEIDON	MarTERA	ERA-NET Cofund
INSAID	E-Rare-3	ERA-NET Cofund
Bruce-GenoProt	ICRAD	ERA-NET Cofund
SAFEBLOOD	Eurostars 2	Article 185
TESTOMETIC	Eurostars 2	Article 185
17RPT03 DIG-AC	EMPIR	Article 185
OptiSWT	Eurostars 2	Article 185
Hands4All	Eurostars 2	Article 185
SPEEDLAS	Eurostars 2	Article 185
HPXD-EDXRF	Eurostars 2	Article 185
TouchBack	Eurostars 2	Article 185
MEWS	Eurostars 2	Article 185
MYOAB	Eurostars 2	Article 185
ALPHAVAC	Eurostars 2	Article 185
iPS&BRAIN	NEURON Cofund	ERA-NET Cofund
3DHIP	Eurostars 2	Article 185
FOOD FIGHT	Eurostars 2	Article 185
LifeTime	Eurostars 2	Article 185
GENPATH	GENDER NET Plus	ERA-NET Cofund
BASABOLT	Eurostars 2	Article 185
LiPlaCis -in-ABC/RBC	Eurostars 2	Article 185
LIQD-CORNEA	EuroNanoMed III	ERA-NET Cofund
PNEUMONAV	Eurostars 2	Article 185
ACCELERATE	Eurostars 2	Article 185
SafeBrain	Eurostars 2	Article 185
REVALVE	Eurostars 2	Article 185
PORTRAIT	ERA PerMed	ERA-NET Cofund
priMe	EDCTP2	Article 185
MYOCITY	EJP RD	EJP Cofund
BIOMIGA	NEURON Cofund	ERA-NET Cofund
IMBALANCE	NEURON Cofund	ERA-NET Cofund
ELECTROGEL	Eurostars 2	Article 185
ActiveNutraLife	Eurostars 2	Article 185
FORESTSENS	Eurostars 2	Article 185
MultiLASE	Eurostars 2	Article 185
WrasseFEED	Eurostars 2	Article 185
Cool&SmartTit	ERA-MIN3	ERA-NET Cofund
HuVac	Eurostars 2	Article 185
ASPECT	Eurostars 2	Article 185
P-CALPRO	Eurostars 2	Article 185
OralG	Eurostars 2	Article 185
COMBIMAT	Eurostars 2	Article 185
LEMONAID	Eurostars 2	Article 185
ANTITHAB	Eurostars 2	Article 185
5G-DAS	Eurostars 2	Article 185
PREVIN	Eurostars 2	Article 185
DiaMon	Eurostars 2	Article 185
CEREBRO	Eurostars 2	Article 185
DEEPCURE	Eurostars 2	Article 185
SEPurate	Eurostars 2	Article 185
BIOSTAR17	Eurostars 2	Article 185
DELTAMET	Eurostars 2	Article 185
MAXMIX	Eurostars 2	Article 185
CGT2	Eurostars 2	Article 185
HeartCHIP	Eurostars 2	Article 185
DOAC-STOP	Eurostars 2	Article 185
Blue-Med	PRIMA	Article 185
KERAPACK	MANUNET III	ERA-NET Cofund
CaRe	Eurostars 2	Article 185
PRO-LAB	Eurostars 2	Article 185
thrombomiR	Eurostars 2	Article 185
MODIFY-NK	Eurostars 2	Article 185
COMPACT!	Eurostars 2	Article 185
HeartAssess	Eurostars 2	Article 185
TRANSCEND	Eurostars 2	Article 185
METPRINT_cod16	Eurostars 2	Article 185
METPRINT1	Eurostars 2	Article 185
ProbeField	EJP SOIL	EJP Cofund
RAPIDMAPS 2020	Eurostars 2	Article 185
Chem2Bio	Eurostars 2	Article 185
REDCATH	Eurostars 2	Article 185
AppleVision	Eurostars 2	Article 185
BKVab	Eurostars 2	Article 185
nOVAB	Eurostars 2	Article 185
NOVA-CARE	Eurostars 2	Article 185
CystArrest	Eurostars 2	Article 185
DEEPMECHANOKNEE	ERA PerMed	ERA-NET Cofund
DERMAL	Eurostars 2	Article 185
WEEEcover	Eurostars 2	Article 185
CureDFI	Eurostars 2	Article 185
Stop TB/HIV at one	EDCTP2	Article 185
EpicoliX	Eurostars 2	Article 185
MEMENTO	AAL 2	Article 185
i-Light	Eurostars 2	Article 185
WANECAM 2	EDCTP2	Article 185
Photocat	Eurostars 2	Article 185
ACTION	Eurostars 2	Article 185
PREcisE	ERA-HDHL	ERA-NET Cofund
LIPCAR-HF	ERA-CVD	ERA-NET Cofund
FERDAR	EDCTP2	Article 185
PathoBody	Eurostars 2	Article 185
ROVAS-2	EDCTP2	Article 185
HEARTLINC	Eurostars 2	Article 185
CureMILS	EJP RD	EJP Cofund
REPEL	Eurostars 2	Article 185
blOCk	Eurostars 2	Article 185
ADNSpine	Eurostars 2	Article 185
SMILE	Eurostars 2	Article 185
Free 25OHD	Eurostars 2	Article 185
METALcoat	Eurostars 2	Article 185
CYBERCOM	Eurostars 2	Article 185
VisualiXe	Eurostars 2	Article 185
ANKloud	Eurostars 2	Article 185
CLEAN-OIL	Eurostars 2	Article 185
GOHYDRO	ICT-AGRI-FOOD	ERA-NET Cofund
FEEDNETICS 4.0	Eurostars 2	Article 185
SnapGas	Eurostars 2	Article 185
SOCIALCARE	AAL 2	Article 185
EcoFuture	PRIMA	Article 185
EMYS-R	BiodivRestore	ERA-NET Cofund
OCTOPUS	HDHL-INTIMIC	ERA-NET Cofund
ASGARD	Eurostars 2	Article 185
PLANT-B	PRIMA	Article 185
CAPITAINER2G	Eurostars 2	Article 185
COLOSYS	ERACoSysMed	ERA-NET Cofund
TheraYAP	Eurostars 2	Article 185
DNANext	Eurostars 2	Article 185
THERIN	Eurostars 2	Article 185
ASTRA	MarTERA	ERA-NET Cofund
Varenne	Eurostars 2	Article 185
PROMEAT	Eurostars 2	Article 185
